city,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
杭州,2020-01-01,11°,5°,晴~小雨,东南风,1级,66,良,
杭州,2020-01-02,11°,7°,阴,西北风,1级,68,良,
杭州,2020-01-03,9°,8°,小雨,东北风,1级,60,良,
杭州,2020-01-04,10°,8°,小雨~阴,东北风,2级,28,优,
杭州,2020-01-05,17°,11°,雾~多云,东南风,2级,54,良,
杭州,2020-01-06,24°,11°,雾~多云,西南风,2级,42,优,
杭州,2020-01-07,18°,4°,小雨~阴,西北风,3级,60,良,
杭州,2020-01-08,10°,3°,阴,西北风,3级,51,良,
杭州,2020-01-09,6°,5°,小雨,东北风,2级,70,良,
杭州,2020-01-10,7°,6°,中雨,西北风,1级,29,优,
杭州,2020-01-11,6°,3°,小雨~阴,东北风,2级,21,优,
杭州,2020-01-12,9°,2°,多云,西北风,2级,55,良,
杭州,2020-01-13,9°,4°,多云~阴,东北风,1级,99,良,
杭州,2020-01-14,8°,2°,阴~多云,西北风,2级,115,轻度,
杭州,2020-01-15,5°,4°,中雨,东北风,2级,86,良,
杭州,2020-01-16,6°,5°,中雨~小雨,东北风,2级,21,优,
杭州,2020-01-17,6°,2°,小雨~阴,东北风,3级,22,优,
杭州,2020-01-18,5°,2°,阴,东北风,2级,40,优,
杭州,2020-01-19,10°,2°,多云~晴,西北风,1级,52,良,
杭州,2020-01-20,12°,3°,雾~晴,西北风,1级,73,良,
杭州,2020-01-21,10°,6°,阴~小雨,东南风,1级,105,轻度,
杭州,2020-01-22,8°,6°,中雨~小雨,西北风,1级,74,良,
杭州,2020-01-23,8°,7°,中雨~小雨,东北风,2级,29,优,
杭州,2020-01-24,8°,6°,小雨~中雨,东北风,3级,36,优,
杭州,2020-01-25,7°,6°,大雨~中雨,东北风,3级,43,优,
杭州,2020-01-26,7°,4°,中雨~小雨,西北风,3级,19,优,
杭州,2020-01-27,7°,3°,阴,西北风,3级,22,优,
杭州,2020-01-28,7°,2°,阴,西北风,2级,37,优,
杭州,2020-01-29,10°,3°,多云,西北风,3级,61,良,
杭州,2020-01-30,10°,0°,多云~晴,西北风,3级,89,良,
杭州,2020-01-31,11°,1°,晴,西北风,2级,97,良,
杭州,2020-02-01,13°,2°,晴~多云,东南风,2级,56,良,
杭州,2020-02-02,12°,6°,多云~小雨,东南风,1级,43,优,
杭州,2020-02-03,12°,5°,阴,东北风,2级,60,良,
杭州,2020-02-04,11°,3°,阴~多云,东北风,2级,51,良,
杭州,2020-02-05,12°,4°,阴,东北风,3级,44,优,
杭州,2020-02-06,7°,5°,小雨~中雨,东南风,4级,32,优,
杭州,2020-02-07,7°,5°,小雨~阴,东北风,2级,24,优,
杭州,2020-02-08,8°,3°,阴~多云,东北风,2级,35,优,
杭州,2020-02-09,13°,3°,多云~晴,西北风,1级,49,优,
杭州,2020-02-10,16°,8°,多云~中雨,东南风,2级,39,优,
杭州,2020-02-11,11°,9°,小雨,东南风,2级,34,优,
杭州,2020-02-12,15°,10°,小雨~阴,东北风,1级,33,优,
杭州,2020-02-13,15°,12°,小雨~阴,东南风,1级,31,优,
杭州,2020-02-14,18°,13°,阴~小雨,东南风,1级,23,优,
杭州,2020-02-15,14°,0°,小雨~雨夹雪,西北风,3级,18,优,
杭州,2020-02-16,7°,-2°,阴~晴,西北风,4级,32,优,
杭州,2020-02-17,11°,-1°,多云~晴,西北风,3级,33,优,
杭州,2020-02-18,12°,1°,晴,东北风,1级,35,优,
杭州,2020-02-19,11°,4°,阴~多云,东南风,2级,47,优,
杭州,2020-02-20,16°,5°,晴,东北风,2级,49,优,
杭州,2020-02-21,18°,7°,多云~阴,西南风,2级,33,优,
杭州,2020-02-22,18°,6°,晴,西北风,2级,50,优,
杭州,2020-02-23,18°,10°,晴~多云,东南风,2级,85,良,
杭州,2020-02-24,26°,14°,多云~晴,西南风,2级,54,良,
杭州,2020-02-25,28°,11°,多云~小雨,西北风,3级,62,良,
杭州,2020-02-26,11°,8°,中雨~阴,东北风,2级,46,优,
杭州,2020-02-27,11°,8°,阴,东北风,3级,46,优,
杭州,2020-02-28,14°,10°,小雨,东北风,2级,48,优,
杭州,2020-02-29,11°,9°,小雨,东北风,2级,23,优,
杭州,2020-03-01,12°,7°,小雨~阴,西北风,2级,28,优,
